molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL92376,CHEMBL3563,IC50,50.0,nM,CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL406038,CHEMBL3563,IC50,80.0,nM,CC1CN(C(=N)S)N=C1c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL90948,CHEMBL3563,IC50,10000.0,nM,S=C(Nc1ccccc1)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi
CHEMBL91347,CHEMBL3563,IC50,1400.0,nM,CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi
CHEMBL90867,CHEMBL3563,IC50,560.0,nM,COc1ccc2ccccc2c1/C=N/N=C(/N)S,trypanosoma_cruzi
CHEMBL90235,CHEMBL3563,IC50,10000.0,nM,C/C(=N\N=C(\N)S)c1ccccc1Cl,trypanosoma_cruzi
CHEMBL91322,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NC(C)C)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL329346,CHEMBL3563,IC50,60.0,nM,NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,trypanosoma_cruzi
CHEMBL92903,CHEMBL3563,IC50,10000.0,nM,CC(C)/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi
CHEMBL91893,CHEMBL3563,IC50,10000.0,nM,NC(=O)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,trypanosoma_cruzi
CHEMBL91195,CHEMBL3563,IC50,10000.0,nM,CC/N=C(\S)N/N=C(\CC)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL91439,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi
CHEMBL242103,CHEMBL3563,IC50,10000.0,nM,COc1ccc(/C=N/NC(N)=S)cc1O,trypanosoma_cruzi
CHEMBL330503,CHEMBL3563,IC50,10000.0,nM,C/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL90859,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NCc1ccco1)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL91266,CHEMBL3563,IC50,10000.0,nM,N/C(S)=N/N=C/c1cc(C#Cc2ccccc2)cs1,trypanosoma_cruzi
CHEMBL90023,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccc(Br)cc1,trypanosoma_cruzi
CHEMBL90181,CHEMBL3563,IC50,1900.0,nM,C/C(=N\N=C(\N)S)c1ccc(Cl)s1,trypanosoma_cruzi
CHEMBL93125,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1,trypanosoma_cruzi
CHEMBL90688,CHEMBL3563,IC50,480.0,nM,N=C(S)N/N=C/c1cccc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL420616,CHEMBL3563,IC50,1600.0,nM,CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL421363,CHEMBL3563,IC50,560.0,nM,N/C(S)=N/N=C/c1cc(Cl)cc(Cl)c1,trypanosoma_cruzi
CHEMBL91003,CHEMBL3563,IC50,40.0,nM,CC1CN(C(=N)S)N=C1c1cccc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL415311,CHEMBL3563,IC50,460.0,nM,N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi
CHEMBL90250,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1Cl,trypanosoma_cruzi
CHEMBL420616,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL91830,CHEMBL3563,IC50,7000.0,nM,Cn1nc(-c2ccc(/C=N/N=C(/N)S)s2)cc1C(F)(F)F,trypanosoma_cruzi
CHEMBL91267,CHEMBL3563,IC50,10000.0,nM,C/C(=N\N=C(\N)S)c1ccc(N2CCOCC2)cc1,trypanosoma_cruzi
CHEMBL313679,CHEMBL3563,IC50,100.0,nM,CC/C(=N\N=C(\N)S)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL330453,CHEMBL3563,IC50,10000.0,nM,CN(C)c1ccc(/C=N/N=C(/N)S)c2ccccc12,trypanosoma_cruzi
