molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL570346,CHEMBL6110,IC50,2200.0,nM,N#Cc1c(-c2cccc([N+](=O)[O-])c2)no[n+]1[O-],schistosoma_mansoni
CHEMBL570345,CHEMBL6110,IC50,40.0,nM,O=C(c1cccs1)c1no[n+]([O-])c1C(=O)c1cccs1,schistosoma_mansoni
CHEMBL500868,CHEMBL6110,IC50,17800.0,nM,NC(=O)c1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni
CHEMBL574577,CHEMBL6110,IC50,630.0,nM,O=C(O)c1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni
CHEMBL567637,CHEMBL6110,IC50,110.0,nM,O=Cc1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni
CHEMBL567641,CHEMBL6110,IC50,11200.0,nM,[O-][n+]1onc(-c2ccccc2)c1CO,schistosoma_mansoni
CHEMBL574360,CHEMBL6110,IC50,50000.0,nM,Cc1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni
CHEMBL336467,CHEMBL6110,IC50,6300.0,nM,N#Cc1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni
CHEMBL976,CHEMBL612893,IC50,0.37,ug.mL-1,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni
CHEMBL976,CHEMBL612893,EC50,220000.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni
CHEMBL1650052,CHEMBL612893,EC50,5000000.0,nM,CCCCCCCCCCCCCCCCOCCCOP1(=O)CO[C@@H](Cn2cnc3c(N)ncnc32)CO1,schistosoma_mansoni
CHEMBL472584,CHEMBL612893,EC50,100000000.0,nM,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1cnc2c(N)ncnc21,schistosoma_mansoni
CHEMBL487297,CHEMBL612893,EC50,100000000.0,nM,CCCCCCCCCCCCCCCCCCOCCOP(=O)(O)CO[C@H](CO)Cn1cnc2c(N)ncnc21,schistosoma_mansoni
CHEMBL1650053,CHEMBL612893,EC50,100000000.0,nM,CCCCCCCCCCCCCCCCCCOCCOP(=O)(O)CO[C@H](CO)Cn1cnc2c(=O)[nH]c(N)nc21,schistosoma_mansoni
CHEMBL1618286,CHEMBL612893,EC50,100000000.0,nM,CCCCCCCCCCCCCCCCCCOCCOP(=O)(O)CO[C@H](CO)Cn1cnc2c(N)nc(N)nc21,schistosoma_mansoni
CHEMBL1650054,CHEMBL612893,EC50,28000000.0,nM,CCCCCCCCCCCCCCCCOCCCOP1(=O)CO[C@@H](Cn2ccc(N)nc2=O)CO1,schistosoma_mansoni
CHEMBL286534,CHEMBL612893,EC50,100000000.0,nM,Nc1ncnc2c1ncn2C[C@@H](CO)OCP(=O)(O)O,schistosoma_mansoni
CHEMBL2093269,CHEMBL612893,IC50,8800.0,nM,O=C(Nc1cc2ccccc2cc1NC(=O)c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2,schistosoma_mansoni
CHEMBL2093270,CHEMBL612893,IC50,9800.0,nM,CCOC(=O)c1c(NC(=O)C(C)Sc2nnc(NC(C)=O)s2)sc2c1CCCC2,schistosoma_mansoni
CHEMBL2093271,CHEMBL612893,IC50,6700.0,nM,CCOC(=O)N1CCc2c(sc(NC(=O)c3nc4ccccc4s3)c2C(N)=O)C1,schistosoma_mansoni
CHEMBL2093286,CHEMBL612893,IC50,7400.0,nM,CN(CC1CCCO1)S(=O)(=O)c1ccc(C(=O)Nc2cccc(-c3nc4ccccc4o3)c2)cc1,schistosoma_mansoni
CHEMBL2093287,CHEMBL612893,IC50,8200.0,nM,COC(=O)c1sc(-c2ccccc2)cc1NC(=O)CCS(=O)(=O)c1ccccc1,schistosoma_mansoni
CHEMBL2093289,CHEMBL612893,IC50,9900.0,nM,CCN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(=O)NC)CCCC3)cc1,schistosoma_mansoni
CHEMBL2093291,CHEMBL612893,IC50,5700.0,nM,C=CCN(CC=C)S(=O)(=O)c1ccc(C(=O)Nc2nc3ccc(C(C)C)cc3s2)cc1,schistosoma_mansoni
CHEMBL597670,CHEMBL612893,IC50,5800.0,nM,CCOc1ccc(NC(=O)CSc2nncc(O)n2)cc1,schistosoma_mansoni
CHEMBL2093310,CHEMBL612893,IC50,6500.0,nM,CCc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2cccs2)cc1,schistosoma_mansoni
CHEMBL2093311,CHEMBL612893,IC50,6700.0,nM,Cc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)CC(c2ccccc2)c2ccccc2)cc1C,schistosoma_mansoni
CHEMBL2093313,CHEMBL612893,IC50,5200.0,nM,CCSc1nnc(NC(=O)CSc2nncc(=O)[nH]2)s1,schistosoma_mansoni
CHEMBL2093314,CHEMBL612893,IC50,5200.0,nM,O=C(CSc1nncc(=O)[nH]1)Nc1ccc(Br)cc1,schistosoma_mansoni
CHEMBL2093315,CHEMBL612893,IC50,4500.0,nM,Cc1ccc(NC(=O)CSc2nncc(=O)[nH]2)cc1Cl,schistosoma_mansoni
CHEMBL2093316,CHEMBL612893,IC50,6300.0,nM,O=C(CSc1nncc(=O)[nH]1)Nc1cc(C(F)(F)F)ccc1Cl,schistosoma_mansoni
CHEMBL2093317,CHEMBL612893,IC50,2700.0,nM,Cc1nc(-c2ccccc2)sc1C(=O)Nc1cccc(-c2cn3c(n2)SCC3)c1,schistosoma_mansoni
CHEMBL1620767,CHEMBL612893,IC50,4300.0,nM,CN(C)CCCN(C(=O)c1cc(-c2cccs2)nc2ccccc12)c1nc2c(F)cccc2s1,schistosoma_mansoni
CHEMBL2093431,CHEMBL612893,IC50,4300.0,nM,CN(C)CCCN(C(=O)/C=C/c1ccccc1Cl)c1nc2cc3c(cc2s1)OCO3,schistosoma_mansoni
CHEMBL2093432,CHEMBL612893,IC50,5700.0,nM,COc1cc(OC)cc(C(=O)N(CCCN(C)C)c2nc3c(C)c(C)ccc3s2)c1,schistosoma_mansoni
CHEMBL1802608,CHEMBL612893,IC50,3800.0,nM,Cn1ncc2c(N3CCOCC3)nc(NCCc3c[nH]c4ccccc34)nc21,schistosoma_mansoni
CHEMBL2093433,CHEMBL612893,IC50,4300.0,nM,COc1ccc(N2CCCS2(=O)=O)cc1NC(=O)c1cc(Cl)ccc1OC,schistosoma_mansoni
CHEMBL2093434,CHEMBL612893,IC50,6600.0,nM,O=C(NCc1nnnn1-c1ccc(Cl)cc1)C1c2ccccc2Oc2ccccc21,schistosoma_mansoni
CHEMBL2093436,CHEMBL612893,IC50,8300.0,nM,CCOc1ccc(C(=O)Nc2ccc(Nc3nc(C)cc(N(CC)CC)n3)cc2)cc1OCC,schistosoma_mansoni
CHEMBL2093437,CHEMBL612893,IC50,7400.0,nM,CCN(CC)c1cc(C)nc(Nc2ccc(NC(=O)c3c(F)cccc3F)cc2)n1,schistosoma_mansoni
CHEMBL2093439,CHEMBL612893,IC50,4700.0,nM,CCN(CC)c1cc(C)nc(Nc2ccc(NC(=O)c3cccs3)cc2)n1,schistosoma_mansoni
CHEMBL2093443,CHEMBL612893,IC50,5100.0,nM,COc1cc(C)c(Cl)cc1S(=O)(=O)Nc1ccc(Nc2nc(C)cc(N3CCOCC3)n2)cc1,schistosoma_mansoni
CHEMBL2093407,CHEMBL612893,IC50,2.21,ug.mL-1,CCOC(=O)c1oc2ccccc2c1NC(=O)c1cc(C)no1,schistosoma_mansoni
CHEMBL2093410,CHEMBL612893,IC50,3.16,ug.mL-1,C#CCn1/c(=N\C(=O)c2cc(C)no2)sc2cc(S(N)(=O)=O)ccc21,schistosoma_mansoni
CHEMBL2093416,CHEMBL612893,IC50,2.48,ug.mL-1,O=C(Cc1csc(NC(=O)C2CCC(=O)N2)n1)NCc1ccccn1,schistosoma_mansoni
CHEMBL2093478,CHEMBL612893,IC50,3.38,ug.mL-1,O=C(NCCOc1ccc2nnc(-c3ccccc3)n2n1)c1ccccc1C(F)(F)F,schistosoma_mansoni
