molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL164709,CHEMBL367,IC50,10300.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC1CCCCC1,leishmania_donovani
CHEMBL125,CHEMBL367,IC50,23710.0,nM,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,leishmania_donovani
CHEMBL162570,CHEMBL367,IC50,21960.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,leishmania_donovani
CHEMBL163962,CHEMBL367,IC50,8250.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCOCC1,leishmania_donovani
CHEMBL165562,CHEMBL367,IC50,2400.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,leishmania_donovani
CHEMBL163668,CHEMBL367,IC50,2880.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC12CC3CC(CC(C3)C1)C2,leishmania_donovani
CHEMBL343885,CHEMBL367,IC50,108000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCCCC1,leishmania_donovani
CHEMBL145766,CHEMBL367,IC50,450000.0,nM,CNS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl,leishmania_donovani
CHEMBL343690,CHEMBL367,IC50,115000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCC1,leishmania_donovani
CHEMBL359009,CHEMBL367,IC50,110000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCCC1,leishmania_donovani
CHEMBL144530,CHEMBL367,IC50,1300.0,nM,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,leishmania_donovani
CHEMBL542979,CHEMBL367,IC50,450000.0,nM,CCN(CC)CCNS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl.Cl,leishmania_donovani
CHEMBL145155,CHEMBL367,IC50,321000.0,nM,CN1CCN(S(=O)(=O)c2cc(C(F)(F)F)ccc2Cl)CC1,leishmania_donovani
CHEMBL145739,CHEMBL367,IC50,450000.0,nM,NS(=O)(=O)c1cc(C(F)(F)F)ccc1F,leishmania_donovani
CHEMBL144584,CHEMBL367,IC50,44000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCN(c2ccccn2)CC1,leishmania_donovani
CHEMBL357625,CHEMBL367,IC50,56000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCCCC1,leishmania_donovani
CHEMBL144213,CHEMBL367,IC50,450000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCC1,leishmania_donovani
CHEMBL358747,CHEMBL367,IC50,199000.0,nM,CN1CCN(S(=O)(=O)c2cc(C(F)(F)F)ccc2F)CC1,leishmania_donovani
CHEMBL342750,CHEMBL367,IC50,23000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1N1CCCC1)N1CCCC1,leishmania_donovani
CHEMBL359397,CHEMBL367,IC50,450000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCN(c2ccccn2)CC1,leishmania_donovani
CHEMBL145681,CHEMBL367,IC50,450000.0,nM,CNS(=O)(=O)c1cc(C(F)(F)F)ccc1F,leishmania_donovani
CHEMBL144456,CHEMBL367,IC50,450000.0,nM,NS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl,leishmania_donovani
CHEMBL344275,CHEMBL367,IC50,418000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCCC1,leishmania_donovani
CHEMBL541368,CHEMBL367,IC50,450000.0,nM,CCN(CC)CCNS(=O)(=O)c1cc(C(F)(F)F)ccc1F.Cl,leishmania_donovani
CHEMBL298362,CHEMBL367,IC50,43000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CC2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL298794,CHEMBL367,IC50,54000.0,nM,CCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL298774,CHEMBL367,IC50,8100.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL55,CHEMBL367,IC50,2000.0,nM,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,leishmania_donovani
CHEMBL52182,CHEMBL367,IC50,32000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(C)cc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL51330,CHEMBL367,IC50,55000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CCC)CCC)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL53263,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL296401,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL53423,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NCC)cc1[N+](=O)[O-],leishmania_donovani
