molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL162570,CHEMBL367,IC50,21960.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,leishmania_donovani,4.658367664221946
CHEMBL163962,CHEMBL367,IC50,8250.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCOCC1,leishmania_donovani,5.0835460514500745
CHEMBL165562,CHEMBL367,IC50,2400.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,leishmania_donovani,5.619788758288394
CHEMBL163668,CHEMBL367,IC50,2880.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC12CC3CC(CC(C3)C1)C2,leishmania_donovani,5.540607512240769
CHEMBL343885,CHEMBL367,IC50,108000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCCCC1,leishmania_donovani,3.96657624451305
CHEMBL145766,CHEMBL367,IC50,450000.0,nM,CNS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl,leishmania_donovani,3.3467874862246565
CHEMBL343690,CHEMBL367,IC50,115000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCC1,leishmania_donovani,3.939302159646388
CHEMBL359009,CHEMBL367,IC50,110000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCCC1,leishmania_donovani,3.958607314841775
CHEMBL144530,CHEMBL367,IC50,1300.0,nM,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,leishmania_donovani,5.886056647693163
CHEMBL542979,CHEMBL367,IC50,450000.0,nM,CCN(CC)CCNS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl.Cl,leishmania_donovani,3.3467874862246565
CHEMBL145155,CHEMBL367,IC50,321000.0,nM,CN1CCN(S(=O)(=O)c2cc(C(F)(F)F)ccc2Cl)CC1,leishmania_donovani,3.493494967595128
CHEMBL145739,CHEMBL367,IC50,450000.0,nM,NS(=O)(=O)c1cc(C(F)(F)F)ccc1F,leishmania_donovani,3.3467874862246565
CHEMBL144584,CHEMBL367,IC50,44000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCN(c2ccccn2)CC1,leishmania_donovani,4.356547323513812
CHEMBL357625,CHEMBL367,IC50,56000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1Cl)N1CCCCCC1,leishmania_donovani,4.251811972993799
CHEMBL144213,CHEMBL367,IC50,450000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCC1,leishmania_donovani,3.3467874862246565
CHEMBL358747,CHEMBL367,IC50,199000.0,nM,CN1CCN(S(=O)(=O)c2cc(C(F)(F)F)ccc2F)CC1,leishmania_donovani,3.701146923590293
CHEMBL342750,CHEMBL367,IC50,23000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1N1CCCC1)N1CCCC1,leishmania_donovani,4.638272163982407
CHEMBL359397,CHEMBL367,IC50,450000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCN(c2ccccn2)CC1,leishmania_donovani,3.3467874862246565
CHEMBL145681,CHEMBL367,IC50,450000.0,nM,CNS(=O)(=O)c1cc(C(F)(F)F)ccc1F,leishmania_donovani,3.3467874862246565
CHEMBL144456,CHEMBL367,IC50,450000.0,nM,NS(=O)(=O)c1cc(C(F)(F)F)ccc1Cl,leishmania_donovani,3.3467874862246565
CHEMBL344275,CHEMBL367,IC50,418000.0,nM,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCCCC1,leishmania_donovani,3.378823718224965
