epoch,train_loss,train_f1,test_f1
1,0.6885996460914612,0.0,0.0
2,0.6821080651134253,0.022169093396684172,0.0
3,0.6779726352542639,0.18254340272898137,0.0
4,0.6654037600383162,0.0,0.0
5,0.6296409894712269,0.0015420200308488932,0.6154898226130925
6,0.546971139498055,0.5079999957820805,0.5504880165221632
7,0.4592158973682672,0.7549754409992674,0.5929619560718025
8,0.3902680170722306,0.8084417481403096,0.5952620200683879
9,0.36598646570928395,0.7985134667387158,0.5929619560718025
10,0.3310482550878078,0.8310044139995775,0.5929619560718025
11,0.3438793371897191,0.7951126748807514,0.5932154203991303
12,0.3531789081171155,0.7904234791601954,0.5929619560718025
13,0.31691656657494605,0.8305743092639275,0.5880192101655198
14,0.30283757857978344,0.8288309633836541,0.5943613305239764
15,0.301326957764104,0.8311564332745163,0.5036179400405539
16,0.28919514873996377,0.8309850660850033,0.5925185564959923
17,0.2878341372124851,0.8290733835865941,0.5887433381046431
18,0.28615602385252714,0.8311137251349127,0.5831249954719205
19,0.2767655982170254,0.8330506938071696,0.6059574421089232
20,0.27341896726284176,0.8303619293238576,0.5745980661517929
21,0.26725734886713326,0.8331469551774203,0.575834653622983
22,0.25885973568074405,0.8333431955475153,0.5842105219347958
23,0.2613990025129169,0.8371345153672184,0.5803170760341771
24,0.25128315668553114,0.8359044562859657,0.5515263909999821
25,0.2517215274274349,0.836622408622048,0.5355338451017396
26,0.2564700721995905,0.8345340684862174,0.5240985314540334
27,0.2572629345813766,0.83605170460172,0.5773728125420908
28,0.24583255522884429,0.8381089636223545,0.5599121661039
29,0.2517349737463519,0.8325056911086315,0.5812881110045692
30,0.23891745635773987,0.8384022539781076,0.5514109587419355
31,0.2389923840528354,0.8371955843860053,0.5502271533232262
32,0.23688089626375586,0.8407544417327082,0.5848132227052091
33,0.2357538710348308,0.8415847433189352,0.5782270561351253
34,0.2319677248597145,0.8423444926429153,0.5569577033462202
35,0.2313059457228519,0.8401695573956138,0.5526509524582298
36,0.2331930248765275,0.8383801921076155,0.552537522019962
37,0.22832142963306978,0.8414858791307689,0.5639645299595603
38,0.23524728912161663,0.8382029108296153,0.5747271819084561
39,0.22994172509061173,0.8413850006274128,0.5424981474168631
40,0.2274125184630975,0.8398900984838084,0.5542755105647352
41,0.22071495244745165,0.8461084159528389,0.559896250866407
42,0.21878610190469772,0.8459637511997405,0.5622775754709429
43,0.220073486212641,0.8436902436003466,0.5733683028589518
44,0.21539423044305295,0.8451848313772319,0.5625098987857582
45,0.22004381060833111,0.8415999950272777,0.5686483154337796
46,0.21836128050927073,0.8438486694434484,0.5462142691107518
47,0.22556023753713816,0.8427163919231059,0.5609911009012061
48,0.21507924562320113,0.8498289439442394,0.5611285221110962
49,0.21953012701123953,0.8487106645312747,0.5428937211702307
50,0.21528376481728628,0.8435220821905195,0.5479119689294879
